equipo,confederacion,ranking_fifa,puntos_fifa,mundiales_jugados,partidos_totales,victorias_totales,empates_totales,derrotas_totales,gf_total,gc_total,win_rate_historico,gf_prom_hist,gc_prom_hist,mejor_posicion,ultimo_mundial,veces_campeon,veces_final,veces_semifinal,veces_cuartos,mundiales_recientes,partidos_recientes,victorias_recientes,empates_recientes,derrotas_recientes,gf_reciente,gc_reciente,win_rate_reciente,gf_prom_rec,gc_prom_rec,summary_campeon,summary_sub,summary_tercero,ptd_grupos_match,v_grupos_match,e_grupos_match,d_grupos_match,gf_grupos_match,gc_grupos_match,wr_grupos_match,gfp_grupos_match,gcp_grupos_match,ptd_ko_match,v_ko_match,e_ko_match,d_ko_match,gf_ko_match,gc_ko_match,wr_ko_match,gfp_ko_match,gcp_ko_match,finales_jugadas,semis_jugadas,ptd_total_match,wr_total_match,gfp_total_match,gcp_total_match,ratio_goles_hist,ratio_goles_rec,consistencia_mundial,indice_titulo,tendencia,brecha_grupos_ko,indice_presion,eficiencia_goleadora,solidez_defensiva,indice_rendimiento,debut_2026,estado_clasificacion,nota_clasificacion,seed_ranking
Croatia,UEFA,11.0000,1716.8800,6,30,15,6,9,43,33,0.5000,1.4333,1.1000,2.0000,2022.0000,0,1,3,3,3,17,9,4,4,28,22,0.5294,1.6471,1.2941,0,1,2,32.0000,8.0000,7.0000,17.0000,41.0000,57.0000,0.2500,1.2812,1.7812,15.0000,4.0000,4.0000,7.0000,12.0000,15.0000,0.2667,0.8000,1.0000,0.0000,4.0000,47.0000,0.2553,1.1277,1.5319,1.3030,1.2728,0.2727,10.0000,0.0294,-0.0167,0.2667,1.3030,0.7643,58.4800,False,confirmado,,11
Italy,UEFA,12.0000,1702.0600,18,82,44,21,17,127,77,0.5366,1.5488,0.9390,1.0000,2014.0000,4,6,8,10,1,3,1,0,2,2,3,0.3333,0.6667,1.0000,4,2,1,34.0000,16.0000,7.0000,11.0000,47.0000,40.0000,0.4706,1.3824,1.1765,16.0000,7.0000,2.0000,7.0000,13.0000,11.0000,0.4375,0.8125,0.6875,1.0000,0.0000,50.0000,0.4600,1.2000,1.0200,1.6494,0.6667,0.8182,36.0000,-0.2033,0.0331,0.4375,1.6494,0.7988,69.0600,False,estimado,Playoff UEFA,12
Colombia,CONMEBOL,13.0000,1701.3000,6,22,9,3,10,32,30,0.4091,1.4545,1.3636,5.0000,2018.0000,0,0,0,1,2,9,6,1,2,18,7,0.6667,2.0000,0.7778,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0667,2.5714,0.2727,0.0000,0.2576,,,1.0667,0.7078,56.5000,False,confirmado,,13
USA,CONCACAF,14.0000,1681.8800,11,37,9,8,20,40,66,0.2432,1.0811,1.7838,3.0000,2022.0000,0,0,1,2,2,8,2,3,3,8,10,0.2500,1.0000,1.2500,0,0,1,44.0000,20.0000,13.0000,11.0000,62.0000,44.0000,0.4545,1.4091,1.0000,14.0000,2.0000,9.0000,3.0000,12.0000,13.0000,0.1429,0.8571,0.9286,1.0000,3.0000,58.0000,0.3793,1.2759,0.9828,0.6061,0.8000,0.5000,3.0000,0.0068,0.3116,0.1429,0.6061,0.6178,27.5600,False,confirmado,Sede,14
Mexico,CONCACAF,15.0000,1675.7500,17,60,17,15,28,62,101,0.2833,1.0333,1.6833,6.0000,2022.0000,0,0,0,2,3,11,5,2,4,10,12,0.4545,0.9091,1.0909,0,0,0,36.0000,13.0000,9.0000,14.0000,35.0000,38.0000,0.3611,0.9722,1.0556,8.0000,2.0000,3.0000,3.0000,6.0000,7.0000,0.2500,0.7500,0.8750,2.0000,0.0000,44.0000,0.3409,0.9318,1.0227,0.6139,0.8333,0.7727,0.0000,0.1712,0.1111,0.2500,0.6139,0.6393,37.3700,False,confirmado,Sede,15
Uruguay,CONMEBOL,16.0000,1672.6200,14,59,25,13,21,89,76,0.4237,1.5085,1.2881,1.0000,2022.0000,2,2,5,7,3,12,7,1,4,13,11,0.5833,1.0833,0.9167,2,0,0,36.0000,8.0000,9.0000,19.0000,30.0000,52.0000,0.2222,0.8333,1.4444,16.0000,3.0000,9.0000,4.0000,14.0000,15.0000,0.1875,0.8750,0.9375,1.0000,3.0000,52.0000,0.2115,0.8462,1.2885,1.1711,1.1817,0.6364,15.0000,0.1596,0.0347,0.1875,1.1711,0.7240,56.2700,False,confirmado,,16
Switzerland,UEFA,17.0000,1654.6900,12,41,14,8,19,55,73,0.3415,1.3415,1.7805,5.0000,2022.0000,0,0,0,4,3,12,5,2,5,17,21,0.4167,1.4167,1.7500,0,0,0,43.0000,20.0000,12.0000,11.0000,63.0000,52.0000,0.4651,1.4651,1.2093,16.0000,6.0000,8.0000,2.0000,16.0000,12.0000,0.3750,1.0000,0.7500,1.0000,4.0000,59.0000,0.4407,1.3390,1.0847,0.7534,0.8095,0.5455,0.0000,0.0752,0.0901,0.3750,0.7534,0.6185,42.1600,False,confirmado,,17
Japan,AFC,18.0000,1650.1200,7,25,7,5,13,25,33,0.2800,1.0000,1.3200,9.0000,2022.0000,0,0,0,0,3,11,3,2,6,13,17,0.2727,1.1818,1.5455,0,0,0,41.0000,16.0000,12.0000,13.0000,49.0000,44.0000,0.3902,1.1951,1.0732,11.0000,5.0000,4.0000,2.0000,11.0000,7.0000,0.4545,1.0000,0.6364,1.0000,2.0000,52.0000,0.4038,1.1538,0.9808,0.7576,0.7647,0.3182,0.0000,-0.0073,-0.0643,0.4545,0.7576,0.7171,36.1200,False,confirmado,,18
Senegal,CAF,19.0000,1648.0700,3,12,5,3,4,16,17,0.4167,1.3333,1.4167,7.0000,2022.0000,0,0,0,1,2,7,3,1,3,9,11,0.4286,1.2857,1.5714,0,0,0,42.0000,9.0000,15.0000,18.0000,43.0000,59.0000,0.2143,1.0238,1.4048,11.0000,3.0000,6.0000,2.0000,8.0000,7.0000,0.2727,0.7273,0.6364,0.0000,2.0000,53.0000,0.2264,0.9623,1.2453,0.9411,0.8182,0.1364,0.0000,0.0119,-0.0584,0.2727,0.9411,0.6964,45.1800,False,confirmado,,19
Iran,AFC,20.0000,1617.0200,6,18,3,4,11,13,31,0.1667,0.7222,1.7222,14.0000,2022.0000,0,0,0,0,3,9,2,2,5,7,13,0.2222,0.7778,1.4444,0,0,0,44.0000,20.0000,11.0000,13.0000,59.0000,52.0000,0.4545,1.3409,1.1818,21.0000,5.0000,8.0000,8.0000,14.0000,17.0000,0.2381,0.6667,0.8095,1.0000,1.0000,65.0000,0.3846,1.1231,1.0615,0.4193,0.5385,0.2727,0.0000,0.0555,0.2164,0.2381,0.4193,0.6310,22.6700,False,confirmado,,20
Denmark,UEFA,21.0000,1616.7500,6,23,9,6,8,31,29,0.3913,1.3478,1.2609,8.0000,2022.0000,0,0,0,1,2,7,1,4,2,4,5,0.1429,0.5714,0.7143,0,0,0,47.0000,15.0000,16.0000,16.0000,54.0000,50.0000,0.3191,1.1489,1.0638,12.0000,4.0000,3.0000,5.0000,8.0000,8.0000,0.3333,0.6667,0.6667,0.0000,2.0000,59.0000,0.3220,1.0508,0.9831,1.0689,0.7999,0.2727,0.0000,-0.2484,-0.0142,0.3333,1.0689,0.7298,36.4300,False,estimado,Playoff UEFA,21
South Korea,AFC,22.0000,1599.4500,11,38,7,10,21,39,78,0.1842,1.0263,2.0526,4.0000,2022.0000,0,0,1,1,3,10,2,2,6,11,17,0.2000,1.1000,1.7000,0,0,0,27.0000,12.0000,5.0000,10.0000,33.0000,29.0000,0.4444,1.2222,1.0741,17.0000,4.0000,7.0000,6.0000,13.0000,15.0000,0.2353,0.7647,0.8824,1.0000,0.0000,44.0000,0.3636,1.0455,1.0000,0.5000,0.6471,0.5000,1.0000,0.0158,0.2091,0.2353,0.5000,0.5602,23.5800,False,confirmado,,22
Ecuador,CONMEBOL,23.0000,1591.7300,4,13,5,2,6,14,14,0.3846,1.0769,1.0769,12.0000,2022.0000,0,0,0,0,2,6,2,2,2,7,6,0.3333,1.1667,1.0000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0000,1.1667,0.1818,0.0000,-0.0513,,,1.0000,0.7692,43.1400,False,confirmado,,23
Austria,UEFA,24.0000,1585.5100,7,29,12,4,13,43,47,0.4138,1.4828,1.6207,3.0000,1998.0000,0,0,2,4,0,0,0,0,0,0,0,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,0.9149,,0.3182,4.0000,,,,0.9149,0.6527,48.7000,False,confirmado,,24
Australia,AFC,26.0000,1574.0100,6,20,4,4,12,17,37,0.2000,0.8500,1.8500,11.0000,2022.0000,0,0,0,0,3,10,2,1,7,9,20,0.2000,0.9000,2.0000,0,0,0,44.0000,14.0000,13.0000,17.0000,50.0000,54.0000,0.3182,1.1364,1.2273,9.0000,2.0000,5.0000,2.0000,7.0000,7.0000,0.2222,0.7778,0.7778,1.0000,0.0000,53.0000,0.3019,1.0755,1.1509,0.4595,0.4500,0.2727,0.0000,0.0000,0.0960,0.2222,0.4595,0.6036,23.3700,False,confirmado,,25
Canada,CONCACAF,27.0000,1559.1500,2,6,0,0,6,2,12,0.0000,0.3333,2.0000,24.0000,2022.0000,0,0,0,0,1,3,0,0,3,2,7,0.0000,0.6667,2.3333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.1666,0.2857,0.0909,0.0000,0.0000,,,0.1666,0.5714,1.1400,False,confirmado,Sede,26
Ukraine,UEFA,28.0000,1557.4700,1,5,2,1,2,5,7,0.4000,1.0000,1.4000,8.0000,2006.0000,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,,0.0455,0.0000,,,,0.7143,0.7000,44.4500,False,estimado,Playoff UEFA,27
Norway,UEFA,29.0000,1553.1400,3,8,2,3,3,7,8,0.2500,0.8750,1.0000,12.0000,1998.0000,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.8750,,0.1364,0.0000,,,,0.8750,0.7857,30.7100,False,confirmado,,28
Panama,CONCACAF,30.0000,1540.4300,1,3,0,0,3,2,11,0.0000,0.6667,3.6667,32.0000,2018.0000,0,0,0,0,1,3,0,0,3,2,11,0.0000,0.6667,3.6667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.1818,0.1818,0.0455,0.0000,0.0000,,,0.1818,0.2143,1.2400,False,confirmado,,29
Egypt,CAF,34.0000,1520.6800,3,7,0,2,5,5,12,0.0000,0.7143,1.7143,13.0000,2018.0000,0,0,0,0,1,3,0,0,3,2,6,0.0000,0.6667,2.0000,0,0,0,41.0000,12.0000,13.0000,16.0000,35.0000,39.0000,0.2927,0.8537,0.9512,12.0000,5.0000,6.0000,1.0000,14.0000,8.0000,0.4167,1.1667,0.6667,2.0000,2.0000,53.0000,0.3208,0.9245,0.8868,0.4167,0.3334,0.1364,0.0000,0.0000,-0.1240,0.4167,0.4167,0.6327,11.1800,False,confirmado,,30
Algeria,CAF,35.0000,1516.3700,4,13,3,3,7,13,19,0.2308,1.0000,1.4615,13.0000,2014.0000,0,0,0,0,1,4,1,1,2,7,7,0.2500,1.7500,1.7500,0,0,0,34.0000,11.0000,9.0000,14.0000,43.0000,49.0000,0.3235,1.2647,1.4412,11.0000,4.0000,5.0000,2.0000,8.0000,6.0000,0.3636,0.7273,0.5455,2.0000,3.0000,45.0000,0.3333,1.1333,1.2222,0.6842,1.0000,0.1818,0.0000,0.0192,-0.0401,0.3636,0.6842,0.6868,30.8200,False,confirmado,,31
Scotland,UEFA,36.0000,1506.7700,8,23,4,7,12,25,41,0.1739,1.0870,1.7826,9.0000,1998.0000,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6098,,0.3636,0.0000,,,,0.6098,0.6180,21.3700,False,confirmado,,32
Serbia,UEFA,37.0000,1506.3400,12,46,18,9,19,69,61,0.3913,1.5000,1.3261,4.0000,2022.0000,0,0,2,7,2,6,1,1,4,7,12,0.1667,1.1667,2.0000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.1311,0.5834,0.5455,2.0000,-0.2246,,,1.1311,0.7158,39.5800,False,estimado,Playoff UEFA,33
Paraguay,CONMEBOL,39.0000,1501.5000,8,27,7,10,10,30,38,0.2593,1.1111,1.4074,8.0000,2010.0000,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.7895,,0.3636,0.0000,,,,0.7895,0.6984,31.0500,False,confirmado,,34
Tunisia,CAF,40.0000,1497.1300,6,18,3,5,10,14,26,0.1667,0.7778,1.4444,9.0000,2022.0000,0,0,0,0,2,6,2,1,3,6,9,0.3333,1.0000,1.5000,0,0,0,27.0000,6.0000,12.0000,9.0000,27.0000,32.0000,0.2222,1.0000,1.1852,15.0000,3.0000,9.0000,3.0000,12.0000,12.0000,0.2000,0.8000,0.8000,0.0000,2.0000,42.0000,0.2143,0.9286,1.0476,0.5385,0.6667,0.2727,0.0000,0.1666,0.0222,0.2000,0.5385,0.6905,26.4900,False,confirmado,,35
Ivory Coast,CAF,42.0000,1489.5900,3,9,3,1,5,13,14,0.3333,1.4444,1.5556,17.0000,2014.0000,0,0,0,0,1,3,1,0,2,4,5,0.3333,1.3333,1.6667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.9285,0.8000,0.1364,0.0000,0.0000,,,0.9285,0.6667,39.3200,False,confirmado,,36
Ghana,CAF,44.0000,1470.0000,4,15,5,3,7,18,23,0.3333,1.2000,1.5333,7.0000,2022.0000,0,0,0,1,2,6,1,1,4,9,13,0.1667,1.5000,2.1667,0,0,0,32.0000,18.0000,5.0000,9.0000,53.0000,38.0000,0.5625,1.6562,1.1875,16.0000,6.0000,6.0000,4.0000,15.0000,14.0000,0.3750,0.9375,0.8750,0.0000,2.0000,48.0000,0.5000,1.4167,1.0833,0.7826,0.6923,0.1818,0.0000,-0.1666,0.1875,0.3750,0.7826,0.6714,33.5000,False,confirmado,,37
Saudi Arabia,AFC,56.0000,1400.0000,6,19,4,2,13,14,44,0.2105,0.7368,2.3158,12.0000,2022.0000,0,0,0,0,2,6,2,0,4,5,12,0.3333,0.8333,2.0000,0,0,0,43.0000,15.0000,12.0000,16.0000,55.0000,55.0000,0.3488,1.2791,1.2791,15.0000,2.0000,8.0000,5.0000,11.0000,15.0000,0.1333,0.7333,1.0000,0.0000,3.0000,58.0000,0.2931,1.1379,1.2069,0.3182,0.4166,0.2727,0.0000,0.1228,0.2155,0.1333,0.3182,0.5038,25.6200,False,confirmado,,38
Jamaica,CONCACAF,61.0000,1375.0000,1,3,1,0,2,3,9,0.3333,1.0000,3.0000,22.0000,1998.0000,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,0.0455,0.0000,,,,0.3333,0.3571,35.2500,False,estimado,Playoff interconfederal,39
South Africa,CAF,66.0000,1365.0000,3,9,2,4,3,11,16,0.2222,1.2222,1.7778,17.0000,2010.0000,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,,0.1364,0.0000,,,,0.6875,0.6190,26.6800,False,confirmado,,40
New Zealand,OFC,67.0000,1340.0000,2,6,0,3,3,4,14,0.0000,0.6667,2.3333,22.0000,2010.0000,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.2857,,0.0909,0.0000,,,,0.2857,0.5000,1.9500,False,confirmado,,41
Uzbekistan,AFC,72.0000,1310.0000,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,confirmado,Debut,42
Cape Verde,CAF,73.0000,1298.0000,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,confirmado,Debut,43
Curacao,CONCACAF,77.0000,1285.0000,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,confirmado,Debut - menor nación clasificada,44
Iraq,AFC,80.0000,1280.0000,1,3,0,0,3,1,4,0.0000,0.3333,1.3333,23.0000,1986.0000,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.2500,,0.0455,0.0000,,,,0.2500,0.7143,1.7100,False,estimado,Playoff interconfederal,45
Qatar,AFC,85.0000,1255.0000,1,3,0,0,3,1,7,0.0000,0.3333,2.3333,32.0000,2022.0000,0,0,0,0,1,3,0,0,3,1,7,0.0000,0.3333,2.3333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.1428,0.1428,0.0455,0.0000,0.0000,,,0.1428,0.5000,0.9800,False,confirmado,,46
Jordan,AFC,93.0000,1242.0000,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,confirmado,Debut,47
Haiti,CONCACAF,103.0000,1215.0000,1,3,0,0,3,2,14,0.0000,0.6667,4.6667,15.0000,1974.0000,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.1429,,0.0455,0.0000,,,,0.1429,0.0000,0.9800,False,confirmado,,48
