equipo,confederacion,mundiales_jugados,partidos_totales,victorias_totales,empates_totales,derrotas_totales,gf_total,gc_total,win_rate_historico,gf_prom_hist,gc_prom_hist,mejor_posicion,ultimo_mundial,veces_campeon,veces_final,veces_semifinal,veces_cuartos,mundiales_recientes,partidos_recientes,victorias_recientes,empates_recientes,derrotas_recientes,gf_reciente,gc_reciente,win_rate_reciente,gf_prom_rec,gc_prom_rec,summary_campeon,summary_sub,summary_tercero
Northern Ireland,UEFA,3,13,3,5,5,13,23,0.2308,1.0000,1.7692,7,1986,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0
Algeria,CAF,4,13,3,3,7,13,19,0.2308,1.0000,1.4615,13,2014,0,0,0,0,1,4,1,1,2,7,7,0.2500,1.7500,1.7500,0,0,0
South Africa,CAF,3,9,2,4,3,11,16,0.2222,1.2222,1.7778,17,2010,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Saudi Arabia,AFC,6,19,4,2,13,14,44,0.2105,0.7368,2.3158,12,2022,0,0,0,0,2,6,2,0,4,5,12,0.3333,0.8333,2.0000,0,0,0
Australia,AFC,6,20,4,4,12,17,37,0.2000,0.8500,1.8500,11,2022,0,0,0,0,3,10,2,1,7,9,20,0.2000,0.9000,2.0000,0,0,0
Greece,OTROS,3,10,2,2,6,5,20,0.2000,0.5000,2.0000,13,2014,0,0,0,0,1,4,1,2,1,3,5,0.2500,0.7500,1.2500,0,0,0
Cameroon,CAF,8,26,5,8,13,22,47,0.1923,0.8462,1.8077,7,2022,0,0,0,1,2,6,1,1,4,5,13,0.1667,0.8333,2.1667,0,0,0
South Korea,AFC,11,38,7,10,21,39,78,0.1842,1.0263,2.0526,4,2022,0,0,1,1,3,10,2,2,6,11,17,0.2000,1.1000,1.7000,0,0,0
Scotland,UEFA,8,23,4,7,12,25,41,0.1739,1.0870,1.7826,9,1998,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Slovenia,UEFA,2,6,1,1,4,5,10,0.1667,0.8333,1.6667,18,2010,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Tunisia,CAF,6,18,3,5,10,14,26,0.1667,0.7778,1.4444,9,2022,0,0,0,0,2,6,2,1,3,6,9,0.3333,1.0000,1.5000,0,0,0
Iran,AFC,6,18,3,4,11,13,31,0.1667,0.7222,1.7222,14,2022,0,0,0,0,3,9,2,2,5,7,13,0.2222,0.7778,1.4444,0,0,0
Ireland,UEFA,3,13,2,8,3,10,10,0.1538,0.7692,0.7692,8,2002,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0
North Korea,AFC,2,7,1,1,5,6,21,0.1429,0.8571,3.0000,8,2010,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0
Wales,UEFA,2,8,1,4,3,5,10,0.1250,0.6250,1.2500,5,2022,0,0,0,1,1,3,0,1,2,1,6,0.0000,0.3333,2.0000,0,0,0
Bulgaria,UEFA,7,26,3,8,15,22,53,0.1154,0.8462,2.0385,4,1998,0,0,1,1,0,0,0,0,0,0,0,,,,0,0,0
DR Congo,CAF,1,3,0,0,3,0,14,0.0000,0.0000,4.6667,16,1974,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Trinidad and Tobago,CONCACAF,1,3,0,1,2,0,4,0.0000,0.0000,1.3333,27,2006,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Togo,CAF,1,3,0,0,3,1,6,0.0000,0.3333,2.0000,30,2006,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
UAE,AFC,1,3,0,0,3,2,11,0.0000,0.6667,3.6667,24,1990,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Canada,CONCACAF,2,6,0,0,6,2,12,0.0000,0.3333,2.0000,24,2022,0,0,0,0,1,3,0,0,3,2,7,0.0000,0.6667,2.3333,0,0,0
China,AFC,1,3,0,0,3,0,9,0.0000,0.0000,3.0000,31,2002,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Bolivia,CONMEBOL,3,6,0,1,5,1,20,0.0000,0.1667,3.3333,12,1994,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
New Zealand,OFC,2,6,0,3,3,4,14,0.0000,0.6667,2.3333,22,2010,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Egypt,CAF,3,7,0,2,5,5,12,0.0000,0.7143,1.7143,13,2018,0,0,0,0,1,3,0,0,3,2,6,0.0000,0.6667,2.0000,0,0,0
Kuwait,AFC,1,3,0,1,2,2,6,0.0000,0.6667,2.0000,21,1982,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Haiti,CONCACAF,1,3,0,0,3,2,14,0.0000,0.6667,4.6667,15,1974,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Honduras,CONCACAF,3,9,0,3,6,3,14,0.0000,0.3333,1.5556,18,2014,0,0,0,0,1,3,0,0,3,1,8,0.0000,0.3333,2.6667,0,0,0
Qatar,AFC,1,3,0,0,3,1,7,0.0000,0.3333,2.3333,32,2022,0,0,0,0,1,3,0,0,3,1,7,0.0000,0.3333,2.3333,0,0,0
Iceland,UEFA,1,3,0,1,2,2,5,0.0000,0.6667,1.6667,29,2018,0,0,0,0,1,3,0,1,2,2,5,0.0000,0.6667,1.6667,0,0,0
Iraq,AFC,1,3,0,0,3,1,4,0.0000,0.3333,1.3333,23,1986,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Panama,CONCACAF,1,3,0,0,3,2,11,0.0000,0.6667,3.6667,32,2018,0,0,0,0,1,3,0,0,3,2,11,0.0000,0.6667,3.6667,0,0,0
Israel,OTROS,1,3,0,2,1,1,3,0.0000,0.3333,1.0000,12,1970,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
Angola,CAF,1,3,0,2,1,1,2,0.0000,0.3333,0.6667,23,2006,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
El Salvador,CONCACAF,2,6,0,0,6,1,22,0.0000,0.1667,3.6667,16,1982,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
