equipo,confederacion,ranking_fifa,puntos_fifa,mundiales_jugados,partidos_totales,victorias_totales,empates_totales,derrotas_totales,gf_total,gc_total,win_rate_historico,gf_prom_hist,gc_prom_hist,mejor_posicion,ultimo_mundial,veces_campeon,veces_final,veces_semifinal,veces_cuartos,mundiales_recientes,partidos_recientes,victorias_recientes,empates_recientes,derrotas_recientes,gf_reciente,gc_reciente,win_rate_reciente,gf_prom_rec,gc_prom_rec,summary_campeon,summary_sub,summary_tercero,ptd_grupos_match,v_grupos_match,e_grupos_match,d_grupos_match,gf_grupos_match,gc_grupos_match,wr_grupos_match,gfp_grupos_match,gcp_grupos_match,ptd_ko_match,v_ko_match,e_ko_match,d_ko_match,gf_ko_match,gc_ko_match,wr_ko_match,gfp_ko_match,gcp_ko_match,finales_jugadas,semis_jugadas,ptd_total_match,wr_total_match,gfp_total_match,gcp_total_match,ratio_goles_hist,ratio_goles_rec,consistencia_mundial,indice_titulo,tendencia,brecha_grupos_ko,indice_presion,eficiencia_goleadora,solidez_defensiva,indice_rendimiento
Cuba,CONCACAF,,,1,3,1,1,1,5,12,0.3333,1.6667,4.0000,7,1938,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.4167,,0.0455,0,,,,0.4167,0.1429,35.8200
Bosnia and Herzegovina,OTROS,,,1,3,1,0,2,4,4,0.3333,1.3333,1.3333,20,2014,0,0,0,0,1,3,1,0,2,4,4,0.3333,1.3333,1.3333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0000,1.0000,0.0455,0,0.0000,,,1.0000,0.7143,39.8100
Chile,CONMEBOL,,,9,33,11,7,15,40,49,0.3333,1.2121,1.4848,3,2014,0,0,1,2,1,4,2,1,1,6,4,0.5000,1.5000,1.0000,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,0.8163,1.5000,0.4091,3,0.1667,,,0.8163,0.6818,45.3400
Costa Rica,CONCACAF,48.0000,1445.0000,6,21,6,5,10,22,39,0.2857,1.0476,1.8571,8,2022,0,0,0,1,3,11,3,4,4,10,18,0.2727,0.9091,1.6364,0,0,0,45.0000,21.0000,11.0000,13.0000,58.0000,40.0000,0.4667,1.2889,0.8889,7.0000,3.0000,3.0000,1.0000,5.0000,3.0000,0.4286,0.7143,0.4286,0.0000,0.0000,52.0000,0.4615,1.2115,0.8269,0.5641,0.5555,0.2727,0,-0.0130,0.0381,0.4286,0.5641,0.6021,34.5400
Nigeria,CAF,38.0000,1502.4600,6,21,6,3,12,23,30,0.2857,1.0952,1.4286,9,2018,0,0,0,0,2,7,2,1,4,6,9,0.2857,0.8571,1.2857,0,0,0,39.0000,12.0000,10.0000,17.0000,47.0000,54.0000,0.3077,1.2051,1.3846,10.0000,3.0000,5.0000,2.0000,8.0000,7.0000,0.3000,0.8000,0.7000,0.0000,2.0000,49.0000,0.3061,1.1224,1.2449,0.7666,0.6666,0.2727,0,0.0000,0.0077,0.3000,0.7666,0.6939,33.7900
Mexico,CONCACAF,15.0000,1675.7500,17,60,17,15,28,62,101,0.2833,1.0333,1.6833,6,2022,0,0,0,2,3,11,5,2,4,10,12,0.4545,0.9091,1.0909,0,0,0,36.0000,13.0000,9.0000,14.0000,35.0000,38.0000,0.3611,0.9722,1.0556,8.0000,2.0000,3.0000,3.0000,6.0000,7.0000,0.2500,0.7500,0.8750,2.0000,0.0000,44.0000,0.3409,0.9318,1.0227,0.6139,0.8333,0.7727,0,0.1712,0.1111,0.2500,0.6139,0.6393,37.3700
Japan,AFC,18.0000,1650.1200,7,25,7,5,13,25,33,0.2800,1.0000,1.3200,9,2022,0,0,0,0,3,11,3,2,6,13,17,0.2727,1.1818,1.5455,0,0,0,41.0000,16.0000,12.0000,13.0000,49.0000,44.0000,0.3902,1.1951,1.0732,11.0000,5.0000,4.0000,2.0000,11.0000,7.0000,0.4545,1.0000,0.6364,1.0000,2.0000,52.0000,0.4038,1.1538,0.9808,0.7576,0.7647,0.3182,0,-0.0073,-0.0643,0.4545,0.7576,0.7171,36.1200
Peru,CONMEBOL,,,5,18,5,3,10,21,33,0.2778,1.1667,1.8333,7,2018,0,0,0,2,1,3,1,0,2,2,2,0.3333,0.6667,0.6667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6364,1.0000,0.2273,0,0.0555,,,0.6364,0.6072,33.7200
Morocco,CAF,8.0000,1736.5700,6,23,6,6,11,20,27,0.2609,0.8696,1.1739,4,2022,0,0,1,1,2,10,4,2,4,8,9,0.4000,0.8000,0.9000,0,0,0,34.0000,10.0000,12.0000,12.0000,45.0000,49.0000,0.2941,1.3235,1.4412,13.0000,6.0000,6.0000,1.0000,14.0000,7.0000,0.4615,1.0769,0.5385,0.0000,2.0000,47.0000,0.3404,1.2553,1.1915,0.7408,0.8889,0.2727,1,0.1391,-0.1674,0.4615,0.7408,0.7485,39.9800
Paraguay,CONMEBOL,39.0000,1501.5000,8,27,7,10,10,30,38,0.2593,1.1111,1.4074,8,2010,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.7895,,0.3636,0,,,,0.7895,0.6984,31.0500
Norway,UEFA,29.0000,1553.1400,3,8,2,3,3,7,8,0.2500,0.8750,1.0000,12,1998,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.8750,,0.1364,0,,,,0.8750,0.7857,30.7100
Slovakia,UEFA,,,1,4,1,1,2,5,7,0.2500,1.2500,1.7500,16,2010,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,,0.0455,0,,,,0.7143,0.6250,29.6100
USA,CONCACAF,14.0000,1681.8800,11,37,9,8,20,40,66,0.2432,1.0811,1.7838,3,2022,0,0,1,2,2,8,2,3,3,8,10,0.2500,1.0000,1.2500,0,0,1,44.0000,20.0000,13.0000,11.0000,62.0000,44.0000,0.4545,1.4091,1.0000,14.0000,2.0000,9.0000,3.0000,12.0000,13.0000,0.1429,0.8571,0.9286,1.0000,3.0000,58.0000,0.3793,1.2759,0.9828,0.6061,0.8000,0.5000,3,0.0068,0.3116,0.1429,0.6061,0.6178,27.5600
Northern Ireland,UEFA,,,3,13,3,5,5,13,23,0.2308,1.0000,1.7692,7,1986,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.5652,,0.1364,0,,,,0.5652,0.6209,26.7000
Algeria,CAF,35.0000,1516.3700,4,13,3,3,7,13,19,0.2308,1.0000,1.4615,13,2014,0,0,0,0,1,4,1,1,2,7,7,0.2500,1.7500,1.7500,0,0,0,34.0000,11.0000,9.0000,14.0000,43.0000,49.0000,0.3235,1.2647,1.4412,11.0000,4.0000,5.0000,2.0000,8.0000,6.0000,0.3636,0.7273,0.5455,2.0000,3.0000,45.0000,0.3333,1.1333,1.2222,0.6842,1.0000,0.1818,0,0.0192,-0.0401,0.3636,0.6842,0.6868,30.8200
South Africa,CAF,66.0000,1365.0000,3,9,2,4,3,11,16,0.2222,1.2222,1.7778,17,2010,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,,0.1364,0,,,,0.6875,0.6190,26.6800
Saudi Arabia,AFC,56.0000,1400.0000,6,19,4,2,13,14,44,0.2105,0.7368,2.3158,12,2022,0,0,0,0,2,6,2,0,4,5,12,0.3333,0.8333,2.0000,0,0,0,43.0000,15.0000,12.0000,16.0000,55.0000,55.0000,0.3488,1.2791,1.2791,15.0000,2.0000,8.0000,5.0000,11.0000,15.0000,0.1333,0.7333,1.0000,0.0000,3.0000,58.0000,0.2931,1.1379,1.2069,0.3182,0.4166,0.2727,0,0.1228,0.2155,0.1333,0.3182,0.5038,25.6200
Australia,AFC,26.0000,1574.0100,6,20,4,4,12,17,37,0.2000,0.8500,1.8500,11,2022,0,0,0,0,3,10,2,1,7,9,20,0.2000,0.9000,2.0000,0,0,0,44.0000,14.0000,13.0000,17.0000,50.0000,54.0000,0.3182,1.1364,1.2273,9.0000,2.0000,5.0000,2.0000,7.0000,7.0000,0.2222,0.7778,0.7778,1.0000,0.0000,53.0000,0.3019,1.0755,1.1509,0.4595,0.4500,0.2727,0,0.0000,0.0960,0.2222,0.4595,0.6036,23.3700
Greece,OTROS,,,3,10,2,2,6,5,20,0.2000,0.5000,2.0000,13,2014,0,0,0,0,1,4,1,2,1,3,5,0.2500,0.7500,1.2500,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.2500,0.6000,0.1364,0,0.0500,,,0.2500,0.5714,23.1900
Cameroon,CAF,52.0000,1420.0000,8,26,5,8,13,22,47,0.1923,0.8462,1.8077,7,2022,0,0,0,1,2,6,1,1,4,5,13,0.1667,0.8333,2.1667,0,0,0,44.0000,16.0000,13.0000,15.0000,52.0000,54.0000,0.3636,1.1818,1.2273,8.0000,3.0000,3.0000,2.0000,10.0000,9.0000,0.3750,1.2500,1.1250,1.0000,1.0000,52.0000,0.3654,1.1923,1.2115,0.4681,0.3846,0.3636,0,-0.0256,-0.0114,0.3750,0.4681,0.6126,25.0100
South Korea,AFC,22.0000,1599.4500,11,38,7,10,21,39,78,0.1842,1.0263,2.0526,4,2022,0,0,1,1,3,10,2,2,6,11,17,0.2000,1.1000,1.7000,0,0,0,27.0000,12.0000,5.0000,10.0000,33.0000,29.0000,0.4444,1.2222,1.0741,17.0000,4.0000,7.0000,6.0000,13.0000,15.0000,0.2353,0.7647,0.8824,1.0000,0.0000,44.0000,0.3636,1.0455,1.0000,0.5000,0.6471,0.5000,1,0.0158,0.2091,0.2353,0.5000,0.5602,23.5800
Scotland,UEFA,36.0000,1506.7700,8,23,4,7,12,25,41,0.1739,1.0870,1.7826,9,1998,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6098,,0.3636,0,,,,0.6098,0.6180,21.3700
Slovenia,UEFA,,,2,6,1,1,4,5,10,0.1667,0.8333,1.6667,18,2010,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.5000,,0.0909,0,,,,0.5000,0.6429,19.9100
Tunisia,CAF,40.0000,1497.1300,6,18,3,5,10,14,26,0.1667,0.7778,1.4444,9,2022,0,0,0,0,2,6,2,1,3,6,9,0.3333,1.0000,1.5000,0,0,0,27.0000,6.0000,12.0000,9.0000,27.0000,32.0000,0.2222,1.0000,1.1852,15.0000,3.0000,9.0000,3.0000,12.0000,12.0000,0.2000,0.8000,0.8000,0.0000,2.0000,42.0000,0.2143,0.9286,1.0476,0.5385,0.6667,0.2727,0,0.1666,0.0222,0.2000,0.5385,0.6905,26.4900
Iran,AFC,20.0000,1617.0200,6,18,3,4,11,13,31,0.1667,0.7222,1.7222,14,2022,0,0,0,0,3,9,2,2,5,7,13,0.2222,0.7778,1.4444,0,0,0,44.0000,20.0000,11.0000,13.0000,59.0000,52.0000,0.4545,1.3409,1.1818,21.0000,5.0000,8.0000,8.0000,14.0000,17.0000,0.2381,0.6667,0.8095,1.0000,1.0000,65.0000,0.3846,1.1231,1.0615,0.4193,0.5385,0.2727,0,0.0555,0.2164,0.2381,0.4193,0.6310,22.6700
Ireland,UEFA,,,3,13,2,8,3,10,10,0.1538,0.7692,0.7692,8,2002,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0000,,0.1364,0,,,,1.0000,0.8352,22.0500
North Korea,AFC,,,2,7,1,1,5,6,21,0.1429,0.8571,3.0000,8,2010,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.2857,,0.0909,0,,,,0.2857,0.3571,16.0900
Wales,UEFA,32.0000,1529.7100,2,8,1,4,3,5,10,0.1250,0.6250,1.2500,5,2022,0,0,0,1,1,3,0,1,2,1,6,0.0000,0.3333,2.0000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.5000,0.1666,0.0909,0,-0.1250,,,0.5000,0.7321,11.5400
Bulgaria,UEFA,,,7,26,3,8,15,22,53,0.1154,0.8462,2.0385,4,1998,0,0,1,1,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.4151,,0.3182,1,,,,0.4151,0.5632,14.6300
DR Congo,CAF,,,1,3,0,0,3,0,14,0.0000,0.0000,4.6667,16,1974,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,0.0455,0,,,,0.0000,0.0000,0.0000
Trinidad and Tobago,CONCACAF,,,1,3,0,1,2,0,4,0.0000,0.0000,1.3333,27,2006,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,0.0455,0,,,,0.0000,0.7143,0.0000
Togo,CAF,,,1,3,0,0,3,1,6,0.0000,0.3333,2.0000,30,2006,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.1666,,0.0455,0,,,,0.1666,0.5714,1.1400
UAE,AFC,,,1,3,0,0,3,2,11,0.0000,0.6667,3.6667,24,1990,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.1818,,0.0455,0,,,,0.1818,0.2143,1.2400
